zipcode	population	latitude	longitude	state	city	county	msa	cbsa	cbsa_name	msa_name	medicarecbsacode	medicarecbsaname
77263	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77265	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77266	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77267	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77268	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77269	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77270	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77271	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77272	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77273	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77274	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77275	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77277	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77279	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77280	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77282	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77284	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77287	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77288	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
